"Year","State","City","Store name","Lines","Category","Sales revenue","Quantity sold"
"2004","California","Los Angeles","e-Fashion Los Angeles","Accessories","Belts,bags,wallets","36977.6","268"
"2004","California","Los Angeles","e-Fashion Los Angeles","Accessories","Hair accessories","9216.7","60"
"2004","California","Los Angeles","e-Fashion Los Angeles","Accessories","Hats,gloves,scarves","62079","485"
"2004","California","Los Angeles","e-Fashion Los Angeles","Accessories","Jewelry","167098.7","1121"
"2004","California","Los Angeles","e-Fashion Los Angeles","Accessories","Lounge wear","9898.3","73"
"2004","California","Los Angeles","e-Fashion Los Angeles","City Skirts","Full length","5152.3","26"
"2004","California","Los Angeles","e-Fashion Los Angeles","City Skirts","Mini city","118.2","1"
"2004","California","Los Angeles","e-Fashion Los Angeles","City Trousers","Bermudas","3035","17"
"2004","California","Los Angeles","e-Fashion Los Angeles","City Trousers","Long lounge pants","2218.7","19"
"2004","California","Los Angeles","e-Fashion Los Angeles","Dresses","Casual dresses","6248","41"
"2004","California","Los Angeles","e-Fashion Los Angeles","Dresses","Evening wear","40681.3","313"
"2004","California","Los Angeles","e-Fashion Los Angeles","Dresses","Skirts","2230.8","15"
"2004","California","Los Angeles","e-Fashion Los Angeles","Dresses","Sweater dresses","6134.9","45"
"2004","California","Los Angeles","e-Fashion Los Angeles","Jackets","Boatwear","7542.5","50"
"2004","California","Los Angeles","e-Fashion Los Angeles","Jackets","Fancy fabric","4972.1","32"
"2004","California","Los Angeles","e-Fashion Los Angeles","Jackets","Outdoor","12591.7","78"
"2004","California","Los Angeles","e-Fashion Los Angeles","Leather","Jackets","20492.5","145"
"2004","California","Los Angeles","e-Fashion Los Angeles","Leather","Pants","1906.3","9"
"2004","California","Los Angeles","e-Fashion Los Angeles","Leather","Shirts","1631.8","9"
"2004","California","Los Angeles","e-Fashion Los Angeles","Outerwear","Day wear","28089.2","237"
"2004","California","Los Angeles","e-Fashion Los Angeles","Outerwear","Hats,gloves,scarves","7176.2","82"
"2004","California","Los Angeles","e-Fashion Los Angeles","Outerwear","Night wear","936.3","4"
"2004","California","Los Angeles","e-Fashion Los Angeles","Overcoats","Dry wear","7913.8","37"
"2004","California","Los Angeles","e-Fashion Los Angeles","Overcoats","Wet wear","5790.4","29"
"2004","California","Los Angeles","e-Fashion Los Angeles","Shirt Waist","2 Pocket shirts","22545.4","126"
"2004","California","Los Angeles","e-Fashion Los Angeles","Shirt Waist","Long sleeve","25310.6","169"
"2004","California","Los Angeles","e-Fashion Los Angeles","Shirt Waist","Short sleeve","44633.6","264"
"2004","California","Los Angeles","e-Fashion Los Angeles","Sweaters","Cardigan","23120.3","158"
"2004","California","Los Angeles","e-Fashion Los Angeles","Sweaters","Soft fabric","7107.9","39"
"2004","California","Los Angeles","e-Fashion Los Angeles","Sweaters","Turtleneck","7419.4","41"
"2004","California","Los Angeles","e-Fashion Los Angeles","Sweat-T-Shirts","Sweats","2189.6","10"
"2004","California","Los Angeles","e-Fashion Los Angeles","Sweat-T-Shirts","T-Shirts","336236.5","2073"
"2004","California","Los Angeles","e-Fashion Los Angeles","Trousers","Jeans","8036.9","43"
"2004","California","Los Angeles","e-Fashion Los Angeles","Trousers","Party pants","55904.6","464"
"2004","California","San Francisco","e-Fashion San Francisco","Accessories","Belts,bags,wallets","29085.7","198"
"2004","California","San Francisco","e-Fashion San Francisco","Accessories","Hair accessories","3219.1","16"
"2004","California","San Francisco","e-Fashion San Francisco","Accessories","Hats,gloves,scarves","27844.4","205"
"2004","California","San Francisco","e-Fashion San Francisco","Accessories","Jewelry","135253.3","892"
"2004","California","San Francisco","e-Fashion San Francisco","Accessories","Lounge wear","8993.1","59"
"2004","California","San Francisco","e-Fashion San Francisco","City Skirts","Full length","5801.7","27"
"2004","California","San Francisco","e-Fashion San Francisco","City Trousers","Bermudas","2254.7","13"
"2004","California","San Francisco","e-Fashion San Francisco","City Trousers","Long lounge pants","3426.7","20"
"2004","California","San Francisco","e-Fashion San Francisco","Dresses","Casual dresses","4991.8","42"
"2004","California","San Francisco","e-Fashion San Francisco","Dresses","Evening wear","43982.5","332"
"2004","California","San Francisco","e-Fashion San Francisco","Dresses","Skirts","1239.6","9"
"2004","California","San Francisco","e-Fashion San Francisco","Dresses","Sweater dresses","4700.9","38"
"2004","California","San Francisco","e-Fashion San Francisco","Jackets","Boatwear","3431.1","23"
"2004","California","San Francisco","e-Fashion San Francisco","Jackets","Fancy fabric","3470.5","23"
"2004","California","San Francisco","e-Fashion San Francisco","Jackets","Outdoor","6361.5","44"
"2004","California","San Francisco","e-Fashion San Francisco","Leather","Jackets","182.3","1"
"2004","California","San Francisco","e-Fashion San Francisco","Leather","Pants","502","3"
"2004","California","San Francisco","e-Fashion San Francisco","Leather","Shirts","2196.6","12"
"2004","California","San Francisco","e-Fashion San Francisco","Outerwear","Day wear","18370.4","163"
"2004","California","San Francisco","e-Fashion San Francisco","Outerwear","Hats,gloves,scarves","3867.6","44"
"2004","California","San Francisco","e-Fashion San Francisco","Outerwear","Night wear","1724.8","7"
"2004","California","San Francisco","e-Fashion San Francisco","Overcoats","Dry wear","5009.1","24"
"2004","California","San Francisco","e-Fashion San Francisco","Overcoats","Wet wear","3380.4","17"
"2004","California","San Francisco","e-Fashion San Francisco","Shirt Waist","2 Pocket shirts","28453.4","157"
"2004","California","San Francisco","e-Fashion San Francisco","Shirt Waist","Long sleeve","30414","195"
"2004","California","San Francisco","e-Fashion San Francisco","Shirt Waist","Short sleeve","41828.5","252"
"2004","California","San Francisco","e-Fashion San Francisco","Sweaters","Cardigan","21173.6","159"
"2004","California","San Francisco","e-Fashion San Francisco","Sweaters","Soft fabric","5063.5","28"
"2004","California","San Francisco","e-Fashion San Francisco","Sweaters","Turtleneck","6834.9","34"
"2004","California","San Francisco","e-Fashion San Francisco","Sweat-T-Shirts","Sweats","939.2","5"
"2004","California","San Francisco","e-Fashion San Francisco","Sweat-T-Shirts","T-Shirts","233637.2","1421"
"2004","California","San Francisco","e-Fashion San Francisco","Trousers","Jeans","4944.1","29"
"2004","California","San Francisco","e-Fashion San Francisco","Trousers","Party pants","28995.5","229"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Belts,bags,wallets","17408.5","141"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Hair accessories","3810.9","20"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Hats,gloves,scarves","24090.4","182"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Jewelry","95991.4","626"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Accessories","Lounge wear","3792","31"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","City Skirts","Full length","4105.7","18"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","City Skirts","Mini city","123.7","1"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","City Trousers","Bermudas","245.5","2"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","City Trousers","Long lounge pants","2526.4","18"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Casual dresses","1789.2","15"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Evening wear","26951.6","206"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Skirts","1320.7","10"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Dresses","Sweater dresses","3511.9","26"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Jackets","Boatwear","1413.5","10"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Jackets","Fancy fabric","974.7","6"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Jackets","Outdoor","1777.2","10"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Leather","Jackets","2717.3","20"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Leather","Pants","1049.2","5"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Leather","Shirts","136.5","1"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Outerwear","Day wear","10556.4","94"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Outerwear","Hats,gloves,scarves","2249.1","25"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Outerwear","Night wear","1286.1","6"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Overcoats","Dry wear","2166.7","14"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Overcoats","Wet wear","4025.3","20"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Shirt Waist","2 Pocket shirts","8100","46"
"2004","Colorado","Colorado Springs","e-Fashion Colorado Springs","Shirt Waist","Long sleeve","17658.6","121"
